
date_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
tag: mobile2_emore_v1
pretrain: 
per_batch_size: 128
save: 1, max_steps: 350000, lr: 0.10000, verbose: 1000, margin_a: 1.00, margin_m: 0.30, margin_b: 0.20

version_se: 0
do_save: True
verbose: 1000
cutoff: 0
version_input: 1
rand_mirror: 1
emb_size: 512
ckpt: 1
tag: mobile2_emore_v1
num_layers: 2
use_deformable: 0
config_dir: /home/meiyiyang/Face/insightface/output/config
ctx_num: 4
do_save_threshold: 0.99
scale: 0.9993
data_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
network: m2
margin_s: 64.0
center_alpha: 0.5
version_act: prelu
result_dir: /home/meiyiyang/Face/insightface/output/result
beta_freeze: 0
lr: 0.1
triplet_bag_size: 3600
margin_m: 0.3
num_classes: 85742
end_epoch: 100000
margin_a: 1.0
triplet_max_ap: 0.0
lr_steps: 
log_dir: /home/meiyiyang/Face/insightface/output/log
last_epoch: 0
loss_type: 4
wd: 0.0005
power: 1.0
version_unit: 3
batch_size: 512
beta: 1000.0
mom: 0.9
margin_b: 0.2
triplet_alpha: 0.3
easy_margin: 0
version_output: E
image_channel: 3
gamma: 0.12
target: lfw,classify_megaface
image_w: 112
rescale_threshold: 0
images_per_identity: 0
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
fc7_wd_mult: 1.0
per_batch_size: 128
beta_min: 5.0
center_scale: 0.003
pretrained: 
fine_tune: 0
image_h: 112
max_steps: 350000
margin: 4
bn_mom: 0.9

20181027-062932	108000	108	0.1000	lfw	0.98667	0.00387	0.94400	0.01436	classify_megaface	0.87570	0.00000	0.00000	0.00000	
20181027-063938	109000	109	0.1000	lfw	0.98383	0.00553	0.93000	0.01706	classify_megaface	0.85139	0.00000	0.00000	0.00000	
20181027-064935	110000	110	0.1000	lfw	0.98333	0.00568	0.93100	0.02720	classify_megaface	0.83729	0.00000	0.00000	0.00000	
20181027-065937	111000	111	0.1000	lfw	0.98317	0.00673	0.94533	0.01869	classify_megaface	0.83099	0.00000	0.00000	0.00000	
20181027-070932	112000	112	0.1000	lfw	0.98067	0.00528	0.92633	0.02571	classify_megaface	0.84128	0.00000	0.00000	0.00000	
20181027-071927	113000	113	0.1000	lfw	0.98017	0.00669	0.92900	0.02463	classify_megaface	0.84808	0.00000	0.00000	0.00000	
20181027-072932	114000	114	0.1000	lfw	0.98200	0.00698	0.95167	0.01899	classify_megaface	0.85758	0.00000	0.00000	0.00000	
20181027-073929	115000	115	0.1000	lfw	0.98467	0.00521	0.92833	0.01558	classify_megaface	0.84935	0.00000	0.00000	0.00000	
20181027-074932	116000	116	0.1000	lfw	0.98100	0.00680	0.94100	0.01647	classify_megaface	0.85534	0.00000	0.00000	0.00000	
20181027-075929	117000	117	0.1000	lfw	0.98367	0.00640	0.94133	0.01470	classify_megaface	0.85017	0.00000	0.00000	0.00000	
20181027-080926	118000	118	0.1000	lfw	0.98767	0.00484	0.94267	0.01794	classify_megaface	0.87194	0.00000	0.00000	0.00000	
20181027-081922	119000	119	0.1000	lfw	0.98433	0.00692	0.94433	0.02055	classify_megaface	0.85954	0.00000	0.00000	0.00000	
